Entidad Federativa,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,"3,783","3,917","3,728","3,826","4,301","4,293","4,242","4,431","4,488","4,694","4,955","4,987","5,177","4,934","5,267","5,522","5,567","5,636","5,910","6,158","6,226","6,768",9548,9712,8081
2,"10,910","11,301","11,364","11,090","11,365","11,918","12,422","12,695","12,696","13,069","14,052","15,232","15,400","14,922","14,756","15,947","16,198","17,152","18,253","19,073","20,501","20,924",32662,28596,24693
3,"1,553","1,665","1,697","1,782","1,785","1,925","1,911","2,092","2,171","2,353","2,385","2,476","2,434","2,602","2,739","2,757","2,826","3,175","3,183","3,826","3,447","3,556",4867,5925,4302
4,"2,709","2,544","2,526","2,493","2,750","2,827","2,946","3,019","3,084","3,186","3,516","3,651","3,820","3,736","3,964","4,139","4,249","4,714","4,932","4,631","4,835","5,121",7549,7509,5687
5,"10,202","9,706","10,229","10,748","11,030","11,458","11,044","12,377","11,955","12,626","12,981","13,792","14,593","14,640","15,200","15,716","16,466","16,167","16,605","16,660","17,013","17,794",28190,23814,21209
6,"2,370","2,351","2,412","2,449","2,512","2,442","2,594","2,759","2,831","2,866","3,052","3,107","3,223","3,514","3,717","3,790","3,790","4,408","4,486","4,593","4,533","4,566",6057,7121,5683
7,"16,413","15,204","15,253","15,815","16,424","16,889","16,692","17,411","18,287","18,767","19,570","20,378","21,721","21,199","22,411","23,121","24,568","26,519","26,691","26,986","27,263","28,317",38908,39865,31706
8,"15,386","15,517","15,358","15,905","16,494","17,033","16,277","17,239","17,963","18,064","21,066","22,255","25,809","24,121","22,187","22,314","22,163","22,416","23,400","23,802","23,836","24,964",39246,31716,28824
9,"46,773","46,601","46,029","46,627","46,984","48,586","48,950","49,882","49,894","51,465","52,404","53,801","55,106","54,629","55,995","57,142","58,870","59,484","62,230","61,984","63,213","63,334",107292,100363,69455
10,"6,106","6,004","5,699","5,902","6,308","6,564","6,463","7,440","7,388","7,686","8,628","9,718","9,221","9,274","8,884","9,089","8,950","8,975","9,570","9,449","9,311","10,128",13945,13750,11710
11,"21,759","21,753","21,401","20,375","22,285","22,493","22,237","23,402","22,973","23,664","25,104","25,422","27,132","26,550","27,454","28,657","29,474","30,170","32,202","34,794","35,880","37,347",51677,56302,42867
12,"10,972","10,693","10,432","10,715","10,882","11,381","11,561","11,651","11,656","13,555","14,262","16,603","16,472","17,841","18,137","18,469","17,540","20,645","20,270","19,910","18,410","19,448",25859,28177,20619
13,"10,136","10,038","9,113","9,693","10,151","10,089","10,561","10,955","10,926","11,628","12,363","12,900","12,990","13,150","13,246","13,878","14,142","14,595","15,391","15,675","15,945","16,414",22655,25106,18575
14,"30,682","31,300","30,936","30,741","32,339","32,895","32,380","34,117","33,638","34,670","35,862","37,744","39,185","40,328","40,555","42,389","42,260","43,141","46,010","46,224","47,097","49,830",64461,74630,56388
15,"52,095","52,594","52,564","53,315","54,643","56,207","56,747","58,896","58,999","61,096","63,389","65,822","68,286","69,384","72,001","74,566","76,581","77,813","82,351","83,780","86,654","89,390",152668,152090,100734
16,"18,466","18,477","18,304","18,277","19,084","19,123","19,631","20,514","20,656","21,242","22,035","23,602","24,162","24,083","24,310","25,249","24,840","25,473","27,138","27,327","27,279","28,982",36614,46874,32822
17,"6,848","6,828","6,703","6,795","7,213","7,207","7,423","7,823","7,960","8,283","8,951","9,012","9,764","9,653","10,317","10,703","10,623","11,236","12,440","12,353","12,319","13,563",18442,22224,15897
18,"4,119","4,098","4,087","4,136","4,508","4,457","4,542","4,808","4,748","4,982","5,298","5,520","5,935","6,089","5,724","6,035","6,015","6,187","6,555","6,976","6,487","6,956",8708,10297,7740
19,"15,936","15,836","16,122","16,286","16,849","17,391","17,426","19,259","18,655","19,943","20,418","22,361","23,116","23,913","23,965","24,462","24,681","25,087","26,029","26,920","27,818","29,711",42418,45234,38134
20,"18,565","18,074","17,092","17,103","17,957","18,071","17,993","18,908","18,026","19,500","19,990","20,328","21,721","20,919","21,525","22,241","22,798","24,334","24,782","24,914","25,073","26,090",33072,40257,30078
21,"26,413","27,169","26,034","25,766","26,760","27,028","27,240","28,165","27,599","28,420","29,320","30,200","31,031","31,244","31,843","33,100","33,730","34,517","36,353","37,724","37,855","38,860",56745,65936,44050
22,"5,950","5,867","6,028","6,022","6,188","6,445","6,418","6,678","6,716","6,878","7,452","7,598","7,964","7,853","8,395","8,854","9,120","9,034","9,877","10,361","10,569","10,816",15114,18003,13551
23,"2,083","2,351","2,335","2,493","2,552","2,753","2,950","3,206","3,104","3,727","3,849","4,097","4,436","4,409","4,659","4,872","5,045","5,738","6,232","6,424","7,062","7,417",11003,11213,8691
24,"10,501","10,324","10,032","9,965","10,535","11,052","10,910","11,253","11,354","11,745","12,263","12,193","13,290","13,004","13,361","14,343","14,543","14,163","14,976","16,149","16,424","16,697",24427,25197,20328
25,"10,230","10,270","10,053","10,034","10,798","11,040","11,093","11,584","11,790","11,572","13,299","13,720","15,467","15,669","14,344","14,848","14,881","15,357","16,128","16,279","16,011","16,496",23962,23762,17468
26,"10,491","10,730","10,468","10,812","10,995","11,697","11,723","12,401","12,241","12,449","13,210","13,941","14,916","14,752","15,001","15,451","16,041","16,507","16,807","16,729","17,644","18,485",27814,25273,21721
27,"7,789","7,270","7,188","7,636","7,662","8,309","8,202","8,724","8,878","9,073","9,536","10,033","11,156","10,715","10,834","11,738","12,120","12,666","13,263","13,016","13,548","14,679",21871,19189,14988
28,"11,548","11,563","11,719","11,796","11,970","12,462","12,969","13,487","13,852","14,301","14,870","15,699","17,200","16,880","17,856","18,163","18,611","18,700","19,334","19,587","19,596","19,703",28025,26661,22259
29,"4,356","4,550","4,253","4,487","4,633","4,476","4,785","4,714","4,931","5,036","5,130","5,412","5,535","5,471","5,659","5,869","5,931","6,110","6,602","6,591","6,946","6,952",12033,12331,8035
30,"32,424","32,722","31,927","33,203","34,216","36,118","36,413","37,877","37,404","39,489","41,273","43,596","45,079","45,417","47,585","48,495","49,440","52,354","53,749","52,820","53,395","57,220",74758,79053,61555
