Sex,ActualYear,Faculty,Avg,AcomStat,scholarship/bursary ,GoOut,MissClass,ModulFailed,Relation,ParentApprov,RelationParent
Female,2,Arts & Social Sciences,72,3,0,2,3,0,1,1,4
Male,2,Eco0mic & Management Sciences,75,3,1,2,4,0,0,1,4
Male,1,AgriSciences,55,3,0,2,3,0,0,1,4
Male,2,Engineering,84,3,0,3,2,0,1,1,4
Female,2,Arts & Social Sciences,52,3,0,2,1,3,0,1,3
Male,2,Eco0mic & Management Sciences,54,3,0,2,1,0,0,1,4
Female,2,Arts & Social Sciences,75,3,0,3,2,0,1,1,4
Female,2,Arts & Social Sciences,75,3,0,3,0,0,0,1,1
Male,2,Eco0mic & Management Sciences,64,3,0,2,2,4,0,1,4
Female,2,Eco0mic & Management Sciences,76,3,0,1,0,0,1,1,4
Female,1,Science,75,3,0,2,0,0,0,1,4
Male,1,Eco0mic & Management Sciences,65,3,0,4,0,0,1,1,4
Male,2,Arts & Social Sciences,55,3,0,2,3,3,0,1,4
Male,2,Eco0mic & Management Sciences,54,1,0,2,0,1,0,1,3
Male,2,Engineering,62,3,1,2,0,2,0,1,4
Female,2,Law,55,3,0,2,2,4,0,1,4
Female,1,Eco0mic & Management Sciences,76,3,0,2,2,0,0,1,4
Male,2,Arts & Social Sciences,65,3,0,2,2,2,0,1,4
Male,3,Engineering,69,3,0,2,0,0,1,1,4
Male,2,Engineering,60,3,0,2,1,3,0,1,4
Female,2,Eco0mic & Management Sciences,55,1,0,2,0,1,0,1,4
Female,1,Eco0mic & Management Sciences,74,3,0,3,0,0,0,1,4
Male,2,Engineering,70,3,0,1,0,0,0,1,4
Male,1,Engineering,60,3,0,2,0,0,0,1,4
Male,2,Eco0mic & Management Sciences,54,3,0,1,2,1,1,1,4
Female,2,Science,75,3,0,1,0,1,1,1,4
Male,1,Eco0mic & Management Sciences,63,3,0,0,2,0,0,1,4
Male,2,Eco0mic & Management Sciences,73,3,0,2,2,0,0,1,4
Male,1,Eco0mic & Management Sciences,57,3,0,1,2,3,1,1,1
Male,2,Eco0mic & Management Sciences,90,3,0,2,3,4,0,1,4
Female,2,Arts & Social Sciences,75,3,0,3,0,0,1,1,1
Female,1,Eco0mic & Management Sciences,78,3,0,3,2,0,1,1,1
Female,2,Eco0mic & Management Sciences,55,3,0,1,2,4,1,1,4
Male,2,Eco0mic & Management Sciences,70,3,0,1,4,0,1,1,4
Male,2,Eco0mic & Management Sciences,60,3,0,2,0,3,1,1,4
Male,1,Arts & Social Sciences,61,3,0,1,0,0,1,1,4
Male,2,Eco0mic & Management Sciences,63,3,0,0,0,0,1,1,1
Female,1,Eco0mic & Management Sciences,60,3,0,1,0,1,1,1,4
Male,2,Eco0mic & Management Sciences,57,3,0,2,1,2,0,1,1
Male,1,Science,74,1,0,1,0,0,0,1,1
Male,1,Engineering,89,3,1,2,0,4,1,0,2
Male,2,Arts & Social Sciences,76,3,0,1,0,0,1,1,1
Female,1,Medicine and Health Services,80,1,0,2,2,0,0,1,4
Male,2,Economic & Management Sciences,66,3,1,1,4,0,1,1,3
Female,1,Medicine and Health Services,80,3,0,2,0,0,0,1,4
Female,2,Law,70,3,0,2,0,3,0,1,4
Female,3,Education,65,3,0,2,0,1,0,1,4
Female,1,Science,75,3,0,3,2,0,0,1,1
