Country,Demographics Question,Demographics Response,Question-cod,year,Value,SA
1,4,8,1,2015,0,0
1,2,6,1,2015,4.5,0
1,5,14,1,2015,4.6,0
1,3,13,1,2015,5.2,0
1,2,10,1,2015,6.3,0
1,4,15,1,2015,6.3,0
1,2,12,1,2015,7.1,0
1,1,2,1,2015,8.2,0
1,3,4,1,2015,8.4,0
1,4,7,1,2015,8.5,0
1,1,3,1,2015,8.6,0
1,1,1,1,2015,9.4,0
1,5,11,1,2015,9.7,0
1,2,9,1,2015,10.6,0
1,3,5,1,2015,10.7,0
1,1,1,2,2015,74.1,0
1,1,2,2,2015,70.5,0
1,1,3,2,2015,73.6,0
1,1,1,3,2015,44.4,0
1,1,2,3,2015,44.6,0
1,1,3,3,2015,46.6,0
1,1,1,5,2015,63.3,0
1,1,2,5,2015,60.4,0
1,1,3,5,2015,61,0
1,1,1,4,2015,24.8,0
1,1,2,4,2015,27,0
1,1,3,4,2015,25.7,0
1,1,1,6,2015,21.3,0
1,1,2,6,2015,18.5,0
1,1,3,6,2015,20.1,0
1,2,6,2,2015,55.5,0
1,2,9,2,2015,77.4,0
1,2,10,2,2015,68.1,0
1,2,12,2,2015,69.6,0
1,2,6,3,2015,31.4,0
1,2,9,3,2015,50.2,0
1,2,10,3,2015,41,0
1,2,12,3,2015,42.8,0
1,2,6,5,2015,43.6,0
1,2,9,5,2015,66,0
1,2,10,5,2015,55.9,0
1,2,12,5,2015,59.5,0
1,2,6,4,2015,20.9,0
1,2,9,4,2015,29.7,0
1,2,10,4,2015,22.3,0
1,2,12,4,2015,23,0
1,2,6,6,2015,11.9,0
1,2,9,6,2015,23.2,0
1,2,10,6,2015,17.4,0
1,2,12,6,2015,15.9,0
1,3,4,2,2015,72.6,0
1,3,5,2,2015,73.5,0
1,3,13,2,2015,67.4,0
1,3,4,3,2015,45.5,0
1,3,5,3,2015,47.8,0
1,3,13,3,2015,41.1,0
1,3,4,5,2015,60.9,0
1,3,5,5,2015,65.7,0
1,3,13,5,2015,54.8,0
1,3,4,4,2015,25.6,0
1,3,5,4,2015,30.6,0
1,3,13,4,2015,31.8,0
1,3,4,6,2015,18.9,0
1,3,5,6,2015,27.8,0
1,3,13,6,2015,17,0
1,4,7,2,2015,72.6,0
1,4,8,2,2015,0,0
1,4,15,2,2015,48.8,0
1,4,7,3,2015,45.5,0
1,4,8,3,2015,0,0
1,4,15,3,2015,35.1,0
1,4,7,5,2015,61.3,0
1,4,8,5,2015,0,0
1,4,15,5,2015,36.5,0
1,4,7,4,2015,26.1,0
1,4,8,4,2015,0,0
1,4,15,4,2015,29.3,0
1,4,7,6,2015,19.7,0
1,4,8,6,2015,0,0
1,4,15,6,2015,5,0
1,5,11,2,2015,76.1,0
1,5,14,2,2015,59.9,0
1,5,11,3,2015,47,0
1,5,14,3,2015,40.4,0
1,5,11,5,2015,65.6,0
1,5,14,5,2015,46,0
1,5,11,4,2015,28.1,0
1,5,14,4,2015,19.6,0
1,5,11,6,2015,21.9,0
1,5,14,6,2015,12,0
2,2,9,1,2017,0,0
2,1,2,1,2017,0.2,0
2,2,12,1,2017,0.2,0
2,3,4,1,2017,0.3,0
2,1,3,1,2017,0.4,0
2,4,8,1,2017,0.4,0
2,3,5,1,2017,0.5,0
2,5,11,1,2017,0.5,0
2,5,14,1,2017,0.5,0
2,4,7,1,2017,0.6,0
2,2,6,1,2017,0.8,0
2,2,10,1,2017,0.8,0
2,3,13,1,2017,0.8,0
2,1,1,1,2017,0.9,0
2,4,15,1,2017,1.6,0
2,1,1,2,2017,10.9,0
2,1,2,2,2017,11.3,0
2,1,3,2,2017,11.8,0
2,1,1,3,2017,4.4,0
2,1,2,3,2017,3.5,0
2,1,3,3,2017,4.2,0
2,1,1,5,2017,5.3,0
2,1,2,5,2017,6.1,0
2,1,3,5,2017,7.8,0
2,1,1,4,2017,7.1,0
2,1,2,4,2017,8.6,0
2,1,3,4,2017,8.3,0
2,1,1,6,2017,3,0
2,1,2,6,2017,2.5,0
2,1,3,6,2017,1.1,0
2,2,6,2,2017,5.4,0
2,2,9,2,2017,26.6,0
2,2,10,2,2017,14.6,0
2,2,12,2,2017,11.2,0
2,2,6,3,2017,2.2,0
2,2,9,3,2017,15.3,0
2,2,10,3,2017,5.9,0
2,2,12,3,2017,3.2,0
2,2,6,5,2017,2.7,0
2,2,9,5,2017,25.4,0
2,2,10,5,2017,9,0
2,2,12,5,2017,5.9,0
2,2,6,4,2017,3.8,0
2,2,9,4,2017,22.3,0
2,2,10,4,2017,9.6,0
2,2,12,4,2017,8.4,0
2,2,6,6,2017,0.7,0
2,2,9,6,2017,13.8,0
2,2,10,6,2017,3.1,0
2,2,12,6,2017,1.7,0
2,3,4,2,2017,10.8,0
2,3,5,2,2017,9.6,0
2,3,13,2,2017,12.4,0
2,3,4,3,2017,3.4,0
2,3,5,3,2017,3.6,0
2,3,13,3,2017,5,0
2,3,4,5,2017,7.2,0
2,3,5,5,2017,6.2,0
2,3,13,5,2017,5.6,0
2,3,4,4,2017,7.5,0
2,3,5,4,2017,5.5,0
2,3,13,4,2017,9.1,0
2,3,4,6,2017,1.3,0
2,3,5,6,2017,0.9,0
2,3,13,6,2017,3.5,0
2,4,7,2,2017,11.7,0
2,4,8,2,2017,10.6,0
2,4,15,2,2017,29.7,0
2,4,7,3,2017,4.1,0
2,4,8,3,2017,3.8,0
2,4,15,3,2017,13.1,0
2,4,7,5,2017,7.7,0
2,4,8,5,2017,5.1,0
2,4,15,5,2017,16.7,0
2,4,7,4,2017,8.5,0
2,4,8,4,2017,7.2,0
2,4,15,4,2017,24.5,0
2,4,7,6,2017,1.3,0
2,4,8,6,2017,2.8,0
2,4,15,6,2017,4.6,0
2,5,11,2,2017,12.9,0
2,5,14,2,2017,10.2,0
2,5,11,3,2017,3.2,0
2,5,14,3,2017,4.7,0
2,5,11,5,2017,7.4,0
2,5,14,5,2017,5.9,0
2,5,11,4,2017,8.9,0
2,5,14,4,2017,7.4,0
2,5,11,6,2017,2.2,0
2,5,14,6,2017,2,0
