RecordID,Country,Gender,Demographics Question,Demographics Questions code,Demographics Response,Question,Question-cod,Survey Year,year,Value
1,Afghanistan,M,Marital status,1,Never married,... if she burns the food,1,01/01/2015,2015,
1,Afghanistan,M,Education,5,Higher,... if she burns the food,1,01/01/2015,2015,4.5
1,Afghanistan,M,Residence,5,Urban,... if she burns the food,1,01/01/2015,2015,4.6
1,Afghanistan,M,Employment,3,Unemployed,... if she burns the food,1,01/01/2015,2015,5.2
1,Afghanistan,M,Education,5,Primary,... if she burns the food,1,01/01/2015,2015,6.3
1,Afghanistan,M,Marital status,1,"Widowed, divorced, separated",... if she burns the food,1,01/01/2015,2015,6.3
1,Afghanistan,M,Education,5,Secondary,... if she burns the food,1,01/01/2015,2015,7.1
1,Afghanistan,M,Age,4,25-34,... if she burns the food,1,01/01/2015,2015,8.2
1,Afghanistan,M,Employment,3,Employed for cash,... if she burns the food,1,01/01/2015,2015,8.4
1,Afghanistan,M,Marital status,1,Married or living together,... if she burns the food,1,01/01/2015,2015,8.5
1,Afghanistan,M,Age,4,35-49,... if she burns the food,1,01/01/2015,2015,8.6
1,Afghanistan,M,Age,4,15-24,... if she burns the food,1,01/01/2015,2015,9.4
1,Afghanistan,M,Residence,5,Rural,... if she burns the food,1,01/01/2015,2015,9.7
1,Afghanistan,M,Education,5,No education,... if she burns the food,1,01/01/2015,2015,10.6
1,Afghanistan,M,Employment,3,Employed for kind,... if she burns the food,1,01/01/2015,2015,10.7
351,Afghanistan,M,Age,4,15-24,... for at least one specific reason,2,01/01/2015,2015,74.1
351,Afghanistan,M,Age,4,25-34,... for at least one specific reason,2,01/01/2015,2015,70.5
351,Afghanistan,M,Age,4,35-49,... for at least one specific reason,2,01/01/2015,2015,73.6
71,Afghanistan,M,Age,4,15-24,... if she argues with him,3,01/01/2015,2015,44.4
71,Afghanistan,M,Age,4,25-34,... if she argues with him,3,01/01/2015,2015,44.6
71,Afghanistan,M,Age,4,35-49,... if she argues with him,3,01/01/2015,2015,46.6
141,Afghanistan,M,Age,4,15-24,... if she goes out without telling him,5,01/01/2015,2015,63.3
141,Afghanistan,M,Age,4,25-34,... if she goes out without telling him,5,01/01/2015,2015,60.4
141,Afghanistan,M,Age,4,35-49,... if she goes out without telling him,5,01/01/2015,2015,61
211,Afghanistan,M,Age,4,15-24,... if she neglects the children,4,01/01/2015,2015,24.8
211,Afghanistan,M,Age,4,25-34,... if she neglects the children,4,01/01/2015,2015,27
211,Afghanistan,M,Age,4,35-49,... if she neglects the children,4,01/01/2015,2015,25.7
281,Afghanistan,M,Age,4,15-24,... if she refuses to have sex with him,6,01/01/2015,2015,21.3
281,Afghanistan,M,Age,4,25-34,... if she refuses to have sex with him,6,01/01/2015,2015,18.5
281,Afghanistan,M,Age,4,35-49,... if she refuses to have sex with him,6,01/01/2015,2015,20.1
351,Afghanistan,M,Education,5,Higher,... for at least one specific reason,2,01/01/2015,2015,55.5
351,Afghanistan,M,Education,5,No education,... for at least one specific reason,2,01/01/2015,2015,77.4
351,Afghanistan,M,Education,5,Primary,... for at least one specific reason,2,01/01/2015,2015,68.1
351,Afghanistan,M,Education,5,Secondary,... for at least one specific reason,2,01/01/2015,2015,69.6
71,Afghanistan,M,Education,5,Higher,... if she argues with him,3,01/01/2015,2015,31.4
71,Afghanistan,M,Education,5,No education,... if she argues with him,3,01/01/2015,2015,50.2
71,Afghanistan,M,Education,5,Primary,... if she argues with him,3,01/01/2015,2015,41
71,Afghanistan,M,Education,5,Secondary,... if she argues with him,3,01/01/2015,2015,42.8
141,Afghanistan,M,Education,5,Higher,... if she goes out without telling him,5,01/01/2015,2015,43.6
141,Afghanistan,M,Education,5,No education,... if she goes out without telling him,5,01/01/2015,2015,66
141,Afghanistan,M,Education,5,Primary,... if she goes out without telling him,5,01/01/2015,2015,55.9
141,Afghanistan,M,Education,5,Secondary,... if she goes out without telling him,5,01/01/2015,2015,59.5
211,Afghanistan,M,Education,5,Higher,... if she neglects the children,4,01/01/2015,2015,20.9
211,Afghanistan,M,Education,5,No education,... if she neglects the children,4,01/01/2015,2015,29.7
211,Afghanistan,M,Education,5,Primary,... if she neglects the children,4,01/01/2015,2015,22.3
211,Afghanistan,M,Education,5,Secondary,... if she neglects the children,4,01/01/2015,2015,23
281,Afghanistan,M,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2015,2015,11.9
